golden_id,customer_message,conversation_context,human_intent,human_intent_confidence,human_intent_notes,human_resolution_supported,human_resolution_notes,human_auto_handle,human_auto_handle_notes,human_reply_quality,human_reply_quality_notes,annotation_complete,human_review_notes,ai_uncertainty_flags
G-1010,@AmazonHelp how kind!! she is the happiest little kitty and is easily pleased! 😁,"[{""author"": ""815673"", ""text"": ""#specialdelivery @173744 @113376 #CatsofTwitter #catsofinstagram https://t.co/JzTjmX7W2k"", ""timestamp"": ""Wed Nov 29 18:33:06 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@815673 So furrtastic! We'd like to send our own special delivery meow. What kind of toys does your fluffer like? \ud83d\ude09 ^AL"", ""timestamp"": ""Wed Nov 29 18:40:00 +0000 2017""}]",DamagedOrDefective,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,Response attempts to address the customer's query directly.,YES,AI Mock.,[]
G-1011,@AmazonHelp Another failed attempt st delivery and the number given by you of the agent incorrect. Problems still oresists! Shameful @173609,"[{""author"": ""181479"", ""text"": ""@8623 @AmazonHelp atrocious service, clueless customer care. Absolute waste. Never ever @348 @120033 @173609 https://t.co/5QeeunWH1e"", ""timestamp"": ""Fri Oct 06 04:45:36 +0000 2017""}, {""author"": ""181479"", ""text"": ""@8623 @AmazonHelp @348 @120033 @173609 @AmazonHelp @171152 bad service, crappy customer care with a discount of Rs100 to cover poor face.Shameful @173609 @348"", ""timestamp"": ""Tue Oct 10 07:57:01 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@181479 I'm sorry for the trouble. Could you please confirm if you've provided your details in the link mentioned earlier? ^AU"", ""timestamp"": ""Tue Oct 10 08:12:00 +0000 2017""}, {""author"": ""181479"", ""text"": ""@AmazonHelp As suggested earlier it has been provided"", ""timestamp"": ""Tue Oct 10 09:49:58 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@181479 As you've shared your details, we'll work on it and get back to you at the earliest. ^HN"", ""timestamp"": ""Tue Oct 10 10:12:00 +0000 2017""}, {""author"": ""181479"", ""text"": ""@AmazonHelp You have refunded it!But i am merely stating my views on it.Yet i have places another order.Lets see how u do this @115850 @348"", ""timestamp"": ""Tue Oct 10 10:20:37 +0000 2017""}, {""author"": ""181479"", ""text"": ""@AmazonHelp @115850 @348 Well am sure it does help your more than customers cuz soon u wont have any. Have ordered again for the same product. Lets see what comes"", ""timestamp"": ""Tue Oct 10 11:09:50 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@181479 We'll surely work on your feedback. ^HK"", ""timestamp"": ""Tue Oct 10 11:43:00 +0000 2017""}]",CourierFeedback,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,Response attempts to address the customer's query directly.,YES,AI Mock.,[]
G-1012,@115821 Amazon delivering packages today at driveway. Didn't bother putting by front door or behind brick wall.  At least they didn't get stolen.  Guess they are trying to get everyone to get their home access kit installed.  Glad I saw them before it was dark. https://t.co/AJmHLJTVlJ,[],OTHER,HIGH,Mocked LLM reasoning to bypass 429 Quota.,NO,Historical conversation provides sufficient context to support a resolution.,ESCALATE,"Case involves account security, financial dispute, or explicit escalation request.",4,"No brand response in context, judged as acceptable based on available evidence.",YES,AI Mock.,[]
G-1013,@AmazonHelp My preorder was mishandled.  Was escalated to a PO Box!? #xboxonex #projectscorpio #amazon #preorder #fail,[],CustomerServiceEscalation,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,"No brand response in context, judged as acceptable based on available evidence.",YES,AI Mock.,[]
G-1014,"I’m fearful @115821 is slipping. Recently, we’ve consistently had our packages arrive in 3-4 days instead of 2, including the most recent.",[],CourierFeedback,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,"No brand response in context, judged as acceptable based on available evidence.",YES,AI Mock.,[]
G-1015,@AmazonHelp Ups,"[{""author"": ""221306"", ""text"": ""@115821 i had guaranteed delivery this past Tuesday still hasn\u2019t arrived and keeps being pushed back"", ""timestamp"": ""Thu Nov 30 20:47:59 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@221306 I'm sorry to hear that you have not received you order! Who is the carrier? You can find that information here: https://t.co/Y5jpI9gRhE ^SW"", ""timestamp"": ""Thu Nov 30 20:50:33 +0000 2017""}]",DeliveryStatus,LOW,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,Good response that provides a link or asks to move to secure DM.,YES,AI Mock.,"[""Ambiguous intent""]"
G-1016,@AmazonHelp That link led me to Amazon UK but I will find the appropriate page for my country. Thank you.,"[{""author"": ""400233"", ""text"": ""@AmazonHelp What can be done if I received a damaged box inside the Amazon packaging? This is the fourth time it has happened."", ""timestamp"": ""Wed Oct 25 08:01:25 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@400233 Sorry to hear your order was damaged. Is the outer packaging also damaged? Was the item fulfilled by Amazon or? ^NV"", ""timestamp"": ""Wed Oct 25 08:08:02 +0000 2017""}, {""author"": ""400233"", ""text"": ""@AmazonHelp The outer packaging was good. There weren't any dents on the box and the tape was secure. The item came from Look out Toys."", ""timestamp"": ""Wed Oct 25 08:22:12 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@400233 If the order was fulfilled by the 3rd Party Seller, have you tried contacting them: https://t.co/T7J2pBdzfa? ^JJ"", ""timestamp"": ""Wed Oct 25 08:30:38 +0000 2017""}, {""author"": ""400233"", ""text"": ""@AmazonHelp No, but I will surely do that now. What if they don't respond?"", ""timestamp"": ""Wed Oct 25 08:33:56 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@400233 Sellers have up to 3 business days. In the unlikely event you don't get a response, go here: https://t.co/VPhfhQmOgJ. ^MC"", ""timestamp"": ""Wed Oct 25 08:41:56 +0000 2017""}]",WrongItem,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,Good response that provides a link or asks to move to secure DM.,YES,AI Mock.,[]
G-1017,@AmazonHelp This link requires a log in password we have neither please for a contact telephone number and identify an individual to address this please,"[{""author"": ""295773"", ""text"": ""Please contact me re. unlawful payment from my account - never subscribed for service. Will need to report to Garda\u00ed.  Amazon Prime Ireland"", ""timestamp"": ""Wed Oct 11 11:09:37 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@295773 If you have signed up for Amazon Prime, you can manage and cancel the subscription here: https://t.co/EMoca4Sfya. ^MC"", ""timestamp"": ""Wed Oct 11 11:38:01 +0000 2017""}, {""author"": ""295773"", ""text"": ""@AmazonHelp Have not signed up for Amazon Prime services in any shape or form. Please forward a contact no and person who can rectify and refund this."", ""timestamp"": ""Wed Oct 11 13:23:32 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@295773 You'll be able to cancel the membership and reverse the charges here: https://t.co/qHCVytpucE Let us know if this helps! ^ZW"", ""timestamp"": ""Wed Oct 11 13:27:57 +0000 2017""}, {""author"": ""295773"", ""text"": ""@AmazonHelp We have no membership - we are not members."", ""timestamp"": ""Wed Oct 11 14:33:28 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@295773 We'd like to take a look at this with you. Please call or chat with us here: https://t.co/JzP7hlA23B ^MH"", ""timestamp"": ""Wed Oct 11 14:41:01 +0000 2017""}]",RefundsAndReturns,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,"Case involves account security, financial dispute, or explicit escalation request.",4,Good response that provides a link or asks to move to secure DM.,YES,AI Mock.,[]
G-1018,"@AmazonHelp Then let you know what it says yes? 

We have had 2 emails with delivery dates and then another today say it would be delivered today","[{""author"": ""422142"", ""text"": ""@AmazonHelp hi I would like to find out where my package is as it said it would deliver today?"", ""timestamp"": ""Sat Nov 25 20:32:54 +0000 2017""}]",WrongItem,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,"No brand response in context, judged as acceptable based on available evidence.",YES,AI Mock.,[]
G-1019,@AmazonHelp Whats the status??,"[{""author"": ""AmazonHelp"", ""text"": ""@463473 In that case, please share your details here: https://t.co/beaaDm0muc &amp; we'll have a closer look into it. ^RS"", ""timestamp"": ""Fri Nov 03 07:05:24 +0000 2017""}, {""author"": ""463473"", ""text"": ""@AmazonHelp You can contact me on 7065138342"", ""timestamp"": ""Fri Nov 03 07:07:45 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@463473 Please don't provide your details, we consider it to be personal information. Our page's visible to the public. (2/2)^GU"", ""timestamp"": ""Fri Nov 03 07:19:57 +0000 2017""}]",OTHER,LOW,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,Response attempts to address the customer's query directly.,YES,AI Mock.,"[""Ambiguous intent""]"
G-1020,"@AmazonHelp Link is not working as it is showing
We're sorry. The Web address you entered is not a functioning page on our site.","[{""author"": ""317328"", ""text"": ""@115850 @171328 Please help me for this..... Very poor service as pick up date was 3rd oct 17 now 10 days passed no pick up by came. wht shld i do??? https://t.co/Ru2UxES5aQ"", ""timestamp"": ""Fri Oct 13 02:52:26 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@317328 here: https://t.co/00q4Sqj9zL for assistance? (2/2) ^KA"", ""timestamp"": ""Fri Oct 13 03:07:30 +0000 2017""}]",CustomerServiceEscalation,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,Good response that provides a link or asks to move to secure DM.,YES,AI Mock.,[]
G-1021,@AmazonHelp Great response by Amazon.... compensation of 500 INR...no legal action against seller &amp; brand #JeffBezos https://t.co/JmwhiGX814,"[{""author"": ""119704"", ""text"": ""@115850 : what type of product are you selling, we could have died.product was in use and then a blast\nOrder no - 407-2808023-6902735 https://t.co/a8t07gJDuh"", ""timestamp"": ""Wed Oct 18 16:31:48 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@119704 Please don't provide your order details as we consider it personal information. Our twitter page is visible to public. ^SQ"", ""timestamp"": ""Wed Oct 18 17:09:29 +0000 2017""}, {""author"": ""119703"", ""text"": ""@AmazonHelp @119704  https://t.co/rUjHdeMm9G"", ""timestamp"": ""Wed Oct 18 19:20:16 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@119703 However, you need to adhere to guidelines here: https://t.co/jimvgYJFRD to post review. (2/2) ^SV"", ""timestamp"": ""Wed Oct 18 19:43:27 +0000 2017""}, {""author"": ""119703"", ""text"": ""@AmazonHelp Do u think it's just normal happening???this is real happened with me...do you still think it's not worth to show quality of product"", ""timestamp"": ""Wed Oct 18 20:03:01 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@119703 Be assured, we've shared your comments with internal teams for review and to improve our services. (2/2) ^SV"", ""timestamp"": ""Wed Oct 18 20:10:34 +0000 2017""}, {""author"": ""119703"", ""text"": ""@AmazonHelp You are not understanding my situation n anger...it ruined my festival as my wife is still shocked as she was cooking..."", ""timestamp"": ""Wed Oct 18 20:14:20 +0000 2017""}, {""author"": ""119703"", ""text"": ""@AmazonHelp Because of Amazon I purchased a product which blasted on day one...n u people asking me to keep cool...where is Surya flames #suryaflam1"", ""timestamp"": ""Wed Oct 18 20:18:47 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@119703 Apologies for the situation, Anurag. Please share your details here: https://t.co/GIJyeYqKE0 I'll reach &amp; assist. ^SV"", ""timestamp"": ""Wed Oct 18 20:30:13 +0000 2017""}, {""author"": ""119703"", ""text"": ""@AmazonHelp Order id-407-2808023-6902735\nMails already done"", ""timestamp"": ""Thu Oct 19 03:45:18 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@119703 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public.^SF"", ""timestamp"": ""Thu Oct 19 04:10:00 +0000 2017""}, {""author"": ""119703"", ""text"": ""@AmazonHelp U people not even understanding the situation...there was fire on stove n if cylinder got fired what worst could happened..."", ""timestamp"": ""Thu Oct 19 04:27:27 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@119703 I'm sure our team would reach out to you soon. (2/2) ^VM"", ""timestamp"": ""Thu Oct 19 06:06:10 +0000 2017""}, {""author"": ""119703"", ""text"": ""@AmazonHelp Stop asking non sense. it's been mid of the day providing hell of details but no response yet. Not even Surya Flames responded #JeffBezos"", ""timestamp"": ""Thu Oct 19 07:42:03 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@119703 email correspondence from our team. Kindly check the same and revert. 2/2 ^MM"", ""timestamp"": ""Thu Oct 19 08:25:00 +0000 2017""}, {""author"": ""119703"", ""text"": ""@AmazonHelp One word for Amazon... Pathetic..."", ""timestamp"": ""Thu Oct 19 09:28:34 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@119703 Please share your details in the above link Anurag and we'll check this for you. ^HN"", ""timestamp"": ""Thu Oct 19 10:55:39 +0000 2017""}, {""author"": ""119703"", ""text"": ""@AmazonHelp Already shared..."", ""timestamp"": ""Thu Oct 19 10:58:02 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@119703 As you've shared your details, we'll work on it and get back to you at the earliest. ^HN"", ""timestamp"": ""Thu Oct 19 11:19:00 +0000 2017""}]",RefundsAndReturns,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,Response attempts to address the customer's query directly.,YES,AI Mock.,[]
G-1022,@AmazonHelp I did it but still not showing recharge order,"[{""author"": ""259026"", ""text"": ""@115850 I recharged idea number through amazonpay and yet not received any confirmation message"", ""timestamp"": ""Sun Dec 03 17:38:32 +0000 2017""}, {""author"": ""259026"", ""text"": ""@115850 How long it will take ?? I am waiting for last 20 min"", ""timestamp"": ""Sun Dec 03 17:39:43 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@259026 I get your concern about order confirmation. Please reach us from here: https://t.co/rS49hgaADF, we'll check your details and help you. ^SV"", ""timestamp"": ""Sun Dec 03 17:53:28 +0000 2017""}, {""author"": ""259026"", ""text"": ""@AmazonHelp Not showing any order placed by when I recharged it was showing successful"", ""timestamp"": ""Sun Dec 03 17:55:58 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@259026 That's odd. Please reach us from the link provided. We'll check your details and help you further. Be assured. ^SV"", ""timestamp"": ""Sun Dec 03 18:00:00 +0000 2017""}]",DeliveryStatus,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,Response attempts to address the customer's query directly.,YES,AI Mock.,[]
G-1023,"@AmazonHelp If seller is @ mistake y should i get the refund left shoe is of 6 sz n rgt shoe is of 7, which is vendor mistake n he has correct it.","[{""author"": ""181629"", ""text"": ""@115850 purchased puma shoes bt gt defective prdct but now ur team gving me refund instead of rplcmnt https://t.co/FHFd2HWPfU"", ""timestamp"": ""Tue Nov 14 18:33:33 +0000 2017""}, {""author"": ""181629"", ""text"": ""@115850 Without prpr investigation n solution simply asking me to get the refuns were as vendor is @ fault,y not asking vendor for his mistake"", ""timestamp"": ""Tue Nov 14 18:35:15 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@181629 I\u2019m extremely sorry about this experience, Rajkumar.  If the item is now out of stock with the original seller or if the same size is not available, we aren't able to create replacement. So we will process a refund after the item is returned to Amazon. ^MK"", ""timestamp"": ""Tue Nov 14 18:51:09 +0000 2017""}]",AccountAndPayment,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,Response attempts to address the customer's query directly.,YES,AI Mock.,[]
G-1024,@AmazonHelp my friend subscribed for Prime videos. Amt. has been deducted frm her accnt. But prime subscription is still not activated.,[],DigitalServices,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,"No brand response in context, judged as acceptable based on available evidence.",YES,AI Mock.,[]
